batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,11.685,260.14,0.215438,0.191368,0.260586,0.29316,0.493485,614
500,10,50,11.9979,314.315,0.205404,0.17671,0.263029,0.281759,0.421824,614
500,10,100,11.1524,61.6816,0.247156,0.202769,0.310261,0.592834,0.857492,614
500,10,250,11.4871,193.456,0.234197,0.208469,0.269544,0.341205,0.635179,614
500,10,500,11.701,258.742,0.21582,0.186482,0.272801,0.315961,0.51873,614
500,50,10,11.9209,290.605,0.222367,0.196254,0.267101,0.305375,0.460098,614
500,50,50,12.0053,304.312,0.213142,0.188925,0.263029,0.284202,0.424267,614
500,50,100,11.0293,59.5586,0.257758,0.210912,0.321661,0.598534,0.859935,614
500,50,250,11.2981,95.3184,0.245141,0.205212,0.307003,0.5057,0.799674,614
500,50,500,11.4695,178.52,0.228454,0.199511,0.275244,0.37215,0.666938,614
500,100,10,11.6894,262.678,0.219042,0.190554,0.273616,0.301303,0.488599,614
500,100,50,11.8793,297.234,0.225967,0.202769,0.26873,0.291531,0.443811,614
500,100,100,12.0818,318.713,0.223377,0.197883,0.259772,0.283388,0.412052,614
500,100,250,10.9855,60.3314,0.258192,0.210912,0.32329,0.599349,0.834691,614
500,100,500,11.1701,64.9951,0.237728,0.184853,0.322476,0.588762,0.839577,614
500,250,10,11.298,95.9226,0.240603,0.20114,0.297231,0.495928,0.796417,614
500,250,50,11.5637,223.641,0.235335,0.206026,0.27443,0.324919,0.57899,614
500,250,100,11.7614,273.284,0.230344,0.20684,0.265472,0.302117,0.477199,614
500,250,250,11.7414,252.09,0.2308,0.203583,0.263029,0.298046,0.510586,614
500,250,500,11.9785,317.471,0.238475,0.219055,0.266287,0.280945,0.416938,614
500,500,10,11.9885,317.422,0.221027,0.196254,0.263844,0.278502,0.413681,614
500,500,50,11.9936,315.144,0.234776,0.212541,0.266287,0.276873,0.421824,614
500,500,100,12.1067,325.415,0.220882,0.196254,0.261401,0.271173,0.377036,614
500,500,250,11.3439,78.68,0.252435,0.210912,0.324919,0.546417,0.828176,614
500,500,500,11.6561,248.626,0.228471,0.202769,0.271173,0.305375,0.513029,614
1000,10,10,11.789,259.262,0.224144,0.193811,0.273616,0.335505,0.519544,614
1000,10,50,11.8608,267.594,0.240468,0.211726,0.285016,0.335505,0.486156,614
1000,10,100,11.9496,308.121,0.230518,0.208469,0.266287,0.282573,0.430782,614
1000,10,250,11.2022,64.8738,0.250551,0.206026,0.312704,0.598534,0.861564,614
1000,10,500,11.5211,182.094,0.233874,0.204397,0.287459,0.373779,0.629479,614
1000,50,10,11.6838,256.54,0.227405,0.207655,0.261401,0.301303,0.521173,614
1000,50,50,11.8795,277.358,0.235674,0.207655,0.284202,0.333062,0.47557,614
1000,50,100,11.9475,308.046,0.227647,0.202769,0.270358,0.289902,0.412866,614
1000,50,250,12.1125,315.853,0.22421,0.20114,0.266287,0.284202,0.413681,614
1000,50,500,11.0823,66.1629,0.252956,0.205212,0.325733,0.611564,0.856678,614
1000,100,10,11.317,80.6539,0.246009,0.197883,0.312704,0.552117,0.815147,614
1000,100,50,11.4723,162.188,0.253505,0.224756,0.295603,0.406352,0.701954,614
1000,100,100,11.8552,270.027,0.245394,0.219055,0.281759,0.334691,0.484528,614
1000,100,250,11.6759,242.341,0.235614,0.203583,0.283388,0.332248,0.532573,614
1000,100,500,11.1974,63.9292,0.238572,0.188111,0.326547,0.611564,0.855049,614
1000,250,10,11.9563,313.584,0.224576,0.197883,0.26873,0.281759,0.399023,614
1000,250,50,11.859,278.776,0.225065,0.193811,0.273616,0.315147,0.456026,614
1000,250,100,11.0233,67.3925,0.246053,0.197883,0.316775,0.592834,0.850163,614
1000,250,250,11.2094,63.43,0.241617,0.193811,0.318404,0.572476,0.855049,614
1000,250,500,11.3451,94.6384,0.231233,0.179967,0.315961,0.52443,0.79886,614
1000,500,10,11.606,213.775,0.219885,0.188111,0.271987,0.350163,0.596906,614
1000,500,50,11.744,258.41,0.219953,0.193811,0.271173,0.329805,0.519544,614
1000,500,100,11.2939,79.2769,0.237809,0.193811,0.305375,0.526873,0.812704,614
1000,500,250,11.705,244.844,0.22348,0.191368,0.276873,0.319218,0.534202,614
1000,500,500,11.9046,309.024,0.233986,0.210098,0.271173,0.284202,0.421824,614
1500,10,10,11.8967,262.984,0.236437,0.209283,0.276059,0.342834,0.478827,614
1500,10,50,11.8787,260.663,0.245138,0.218241,0.276059,0.34772,0.500814,614
1500,10,100,11.9458,307.476,0.230819,0.204397,0.269544,0.285016,0.420195,614
1500,10,250,11.3574,82.3868,0.230164,0.179967,0.303746,0.538274,0.828176,614
1500,10,500,11.6497,244.033,0.209299,0.173453,0.269544,0.318404,0.535831,614
1500,50,10,11.8144,285.961,0.226042,0.200326,0.26873,0.291531,0.44544,614
