batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5017,344.361,0.0698961,0.040404,0.121212,0.204545,0.440236,594
500,10,50,12.5129,362.715,0.0734605,0.0454545,0.136364,0.198653,0.352694,594
500,10,100,12.4913,78.9966,0.1245,0.0681818,0.228956,0.543771,0.766835,594
500,10,250,12.498,291.79,0.0751678,0.0446128,0.124579,0.218013,0.542088,594
500,10,500,12.502,344.388,0.077234,0.0488215,0.127104,0.207071,0.436869,594
500,50,10,12.5088,362.199,0.0635499,0.030303,0.127104,0.198653,0.349327,594
500,50,50,12.5132,363.983,0.0684671,0.040404,0.12037,0.201178,0.335859,594
500,50,100,12.4895,63.9655,0.119001,0.0547138,0.220539,0.594276,0.790404,594
500,50,250,12.4946,161.914,0.0848199,0.0420875,0.158249,0.332492,0.669192,594
500,50,500,12.4972,272.448,0.0878489,0.0589226,0.138889,0.225589,0.538721,594
500,100,10,12.5026,350.995,0.0658143,0.0361953,0.119529,0.205387,0.409933,594
500,100,50,12.5069,357.495,0.0692129,0.0378788,0.131313,0.206229,0.346801,594
500,100,100,12.5158,361.164,0.0701701,0.0429293,0.125421,0.201178,0.320707,594
500,100,250,12.4886,63.5825,0.116002,0.0521886,0.219697,0.588384,0.727273,594
500,100,500,12.4919,89.1178,0.10736,0.0496633,0.202862,0.5,0.77862,594
500,250,10,12.4943,158.933,0.0868753,0.0462963,0.156566,0.358586,0.664983,594
500,250,50,12.4988,306.903,0.0705984,0.0378788,0.127946,0.215488,0.491583,594
500,250,100,12.5035,354.291,0.0653983,0.0319865,0.131313,0.207071,0.381313,594
500,250,250,12.5037,348.969,0.0525026,0.030303,0.0951178,0.190236,0.409933,594
500,250,500,12.5126,367.483,0.0571081,0.0353535,0.0984848,0.170875,0.326599,594
500,500,10,12.5141,370.668,0.0508715,0.0244108,0.102694,0.16835,0.308923,594
500,500,50,12.5144,369.734,0.0518143,0.0294613,0.0976431,0.158249,0.322391,594
500,500,100,12.5199,366.905,0.073026,0.043771,0.123737,0.185185,0.322391,594
500,500,250,12.4962,142.296,0.0647599,0.0260943,0.133838,0.356902,0.712963,594
500,500,500,12.5034,342.556,0.0605079,0.0353535,0.110269,0.199495,0.415825,594
1000,10,10,12.5072,362.953,0.0555282,0.0319865,0.0959596,0.189394,0.345118,594
1000,10,50,12.5106,364.721,0.0605876,0.0378788,0.100168,0.176768,0.326599,594
1000,10,100,12.5128,368.539,0.0558991,0.03367,0.0925926,0.161616,0.311448,594
1000,10,250,12.494,76.7138,0.0915297,0.0446128,0.1633,0.530303,0.771044,594
1000,10,500,12.4999,281.883,0.0544951,0.0286195,0.103535,0.205387,0.489899,594
1000,50,10,12.5036,348.638,0.0612917,0.0387205,0.0993266,0.202862,0.361953,594
1000,50,50,12.5084,364.75,0.0597601,0.0378788,0.100168,0.186869,0.318182,594
1000,50,100,12.5106,364.657,0.0539796,0.0311448,0.0934343,0.177609,0.304714,594
1000,50,250,12.5205,366.839,0.0761124,0.0555556,0.114478,0.175926,0.329966,594
1000,50,500,12.4922,63.5699,0.0960561,0.0429293,0.178451,0.579125,0.78367,594
1000,100,10,12.4965,145.172,0.0647727,0.0286195,0.123737,0.339226,0.709596,594
1000,100,50,12.4996,272.641,0.0627001,0.0387205,0.100168,0.224747,0.510943,594
1000,100,100,12.5106,367.114,0.0484526,0.0252525,0.0959596,0.171717,0.308081,594
1000,100,250,12.5037,345.981,0.0639863,0.0429293,0.107744,0.194444,0.404882,594
1000,100,500,12.494,81.3013,0.0847993,0.0420875,0.146465,0.51936,0.774411,594
1000,250,10,12.5139,369.138,0.0625883,0.0412458,0.0984848,0.170875,0.30303,594
1000,250,50,12.5074,361.918,0.053289,0.0277778,0.108586,0.183502,0.35101,594
1000,250,100,12.4912,62.8939,0.0790806,0.0260943,0.161616,0.569865,0.811448,594
1000,250,250,12.4944,90.2593,0.0759432,0.0252525,0.156566,0.509259,0.755892,594
1000,250,500,12.4967,158.956,0.0710428,0.037037,0.122896,0.337542,0.665825,594
1000,500,10,12.5011,307.753,0.0561335,0.0311448,0.102694,0.193603,0.475589,594
1000,500,50,12.5044,354.668,0.0600419,0.0378788,0.0993266,0.191077,0.388047,594
