batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5081,343.774,0.0807657,0.0463576,0.153974,0.227649,0.448675,604
500,10,50,12.5207,363.441,0.0598014,0.0298013,0.112583,0.206126,0.347682,604
500,10,100,12.4971,78.3998,0.135403,0.0687086,0.256623,0.529801,0.739238,604
500,10,250,12.5042,297.008,0.0964544,0.0587748,0.171358,0.240066,0.520695,604
500,10,500,12.509,349.692,0.0780778,0.0463576,0.148179,0.225166,0.406457,604
500,50,10,12.5159,360.793,0.0670168,0.0364238,0.129139,0.208609,0.370861,604
500,50,50,12.5208,363.733,0.0552165,0.0273179,0.106788,0.206126,0.351821,604
500,50,100,12.4947,56.755,0.16778,0.105132,0.262417,0.604305,0.754967,604
500,50,250,12.4997,153.873,0.13875,0.0918874,0.228477,0.375,0.674669,604
500,50,500,12.5035,273.416,0.0980482,0.0620861,0.174669,0.244205,0.530629,604
500,100,10,12.5094,349.767,0.0740498,0.0405629,0.147351,0.231788,0.429636,604
500,100,50,12.5142,356.392,0.062472,0.0298013,0.126656,0.214404,0.369205,604
500,100,100,12.5245,362.43,0.0543894,0.0273179,0.110927,0.198675,0.331954,604
500,100,250,12.4943,55.3609,0.147786,0.0786424,0.269868,0.596854,0.733444,604
500,100,500,12.498,100.484,0.139792,0.0844371,0.246689,0.475993,0.725993,604
500,250,10,12.5007,187.463,0.118716,0.0761589,0.206954,0.327815,0.629139,604
500,250,50,12.5054,316.655,0.0928224,0.057947,0.168046,0.231788,0.468543,604
500,250,100,12.5101,350.163,0.0734966,0.0422185,0.136589,0.219371,0.399834,604
500,250,250,12.5091,337.19,0.0491536,0.0240066,0.0910596,0.221026,0.433775,604
500,250,500,12.5203,366.909,0.034077,0.0182119,0.0554636,0.156457,0.323675,604
500,500,10,12.5218,369.598,0.0304538,0.013245,0.0496689,0.158113,0.339404,604
500,500,50,12.5227,372.291,0.0325191,0.0157285,0.0554636,0.148179,0.333609,604
500,500,100,12.5274,364.502,0.0626109,0.035596,0.107616,0.188742,0.343543,604
500,500,250,12.5021,140.703,0.0580633,0.0182119,0.121689,0.388245,0.691225,604
500,500,500,12.5099,344.748,0.0432288,0.0206954,0.0761589,0.214404,0.392384,604
