lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,84.4305,194.868,0.108111,0.0685279,0.186971,0.200508,0.635364,591
0.01,0.1,ranking,translation,l2,94.0671,225.576,0.0880618,0.0516074,0.161591,0.267343,0.547377,591
0.01,0.1,ranking,diagonal,dot,102.79,250.599,0.0241027,0.0126904,0.0321489,0.0566836,0.513536,591
0.01,0.1,ranking,diagonal,l2,122.952,336.514,0.0270171,0.00930626,0.0549915,0.112521,0.409475,591
0.01,0.1,softmax,translation,dot,13.1302,169.343,0.111881,0.0685279,0.200508,0.203046,0.693739,591
0.01,0.1,softmax,translation,l2,12.7586,331.431,0.0306091,0.0169205,0.0507614,0.0998308,0.360406,591
0.01,0.1,softmax,diagonal,dot,12.9566,208.447,0.0436535,0.0270728,0.0736041,0.0989848,0.609137,591
0.01,0.1,softmax,diagonal,l2,12.8053,375.646,0.0190912,0.0109983,0.0253807,0.0397631,0.337563,591
0.01,0.001,ranking,translation,dot,84.177,196.114,0.108323,0.07022,0.190355,0.201354,0.609983,591
0.01,0.001,ranking,translation,l2,97.037,242.207,0.0931982,0.0609137,0.15736,0.247039,0.58291,591
0.01,0.001,ranking,diagonal,dot,102.752,254.164,0.0227626,0.0118443,0.0304569,0.0524535,0.49577,591
0.01,0.001,ranking,diagonal,l2,123.148,337.869,0.0291765,0.0118443,0.0668359,0.110829,0.382403,591
0.01,0.001,softmax,translation,dot,102.821,257.645,0.0227668,0.0101523,0.034687,0.0532995,0.485618,591
0.01,0.001,softmax,translation,l2,13.2259,172.184,0.108646,0.0651438,0.198816,0.201354,0.686125,591
0.01,0.001,softmax,diagonal,dot,12.7442,312.236,0.0341643,0.0177665,0.0558376,0.135364,0.418782,591
0.01,0.001,softmax,diagonal,l2,13.0395,229.177,0.0324848,0.0135364,0.0668359,0.0939086,0.586294,591
0.01,1e-05,ranking,translation,dot,12.6797,333.936,0.0214211,0.00930626,0.0321489,0.072758,0.388325,591
0.01,1e-05,ranking,translation,l2,89.1981,174.818,0.108426,0.0642978,0.198816,0.207276,0.686125,591
0.01,1e-05,ranking,diagonal,dot,104.448,298.053,0.0222012,0.0143824,0.0203046,0.0736041,0.445854,591
0.01,1e-05,ranking,diagonal,l2,105.209,311.133,0.0227415,0.0109983,0.0338409,0.0879865,0.42978,591
0.01,1e-05,softmax,translation,dot,12.4359,183.859,0.115364,0.0744501,0.194585,0.215736,0.649746,591
0.01,1e-05,softmax,translation,l2,12.5389,389.975,0.0171093,0.0126904,0.0169205,0.0236887,0.281726,591
0.01,1e-05,softmax,diagonal,dot,121.863,339.335,0.0397226,0.0186125,0.0786802,0.14044,0.404399,591
0.01,1e-05,softmax,diagonal,l2,12.5039,219.262,0.0206552,0.0109983,0.0186125,0.0693739,0.575296,591
0.001,0.1,ranking,translation,dot,12.5329,389.08,0.0161743,0.0109983,0.0169205,0.0338409,0.294416,591
0.001,0.1,ranking,translation,l2,88.8297,173.669,0.105874,0.0617597,0.197124,0.207276,0.687817,591
0.001,0.1,ranking,diagonal,dot,104.74,301.953,0.0209502,0.0126904,0.0236887,0.071066,0.415398,591
0.001,0.1,ranking,diagonal,l2,102.612,250.374,0.0222085,0.0126904,0.0270728,0.0397631,0.501692,591
