lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,76.5944,177.302,0.159036,0.0984848,0.261785,0.271886,0.670034,594
0.01,0.1,ranking,translation,l2,90.6969,211.943,0.11068,0.0622896,0.196128,0.340067,0.584175,594
0.01,0.1,ranking,diagonal,dot,103.898,263.199,0.0207884,0.00925926,0.0328283,0.0597643,0.493266,594
0.01,0.1,ranking,diagonal,l2,124.782,339.019,0.0208118,0.00925926,0.0345118,0.0883838,0.36532,594
0.01,0.1,softmax,translation,dot,12.6515,152.178,0.170468,0.113636,0.255892,0.271044,0.71633,594
0.01,0.1,softmax,translation,l2,12.8013,342.813,0.0214249,0.0117845,0.030303,0.0774411,0.344276,594
0.01,0.1,softmax,diagonal,dot,13.1691,241.746,0.0242293,0.0126263,0.0387205,0.0580808,0.525253,594
0.01,0.1,softmax,diagonal,l2,12.8011,382.84,0.0125927,0.00673401,0.0143098,0.037037,0.30303,594
0.01,0.001,ranking,translation,dot,76.7994,180.557,0.169603,0.118687,0.258418,0.271044,0.662458,594
0.01,0.001,ranking,translation,l2,89.2428,210.842,0.126125,0.0757576,0.210438,0.340067,0.590909,594
0.01,0.001,ranking,diagonal,dot,102.342,246.993,0.0235,0.0117845,0.0319865,0.0639731,0.503367,594
0.01,0.001,ranking,diagonal,l2,123.972,340.218,0.0196084,0.00925926,0.030303,0.0765993,0.37037,594
0.01,0.001,softmax,translation,dot,102.329,249.774,0.0224715,0.0117845,0.0252525,0.0648148,0.5,594
0.01,0.001,softmax,translation,l2,12.6806,151.997,0.168904,0.112795,0.258418,0.270202,0.703704,594
0.01,0.001,softmax,diagonal,dot,12.7892,340.942,0.0218611,0.0126263,0.026936,0.0673401,0.34596,594
0.01,0.001,softmax,diagonal,l2,13.3193,252,0.0246877,0.013468,0.0353535,0.0631313,0.510943,594
0.01,1e-05,ranking,translation,dot,12.6937,343.029,0.0150097,0.00841751,0.016835,0.0530303,0.362795,594
0.01,1e-05,ranking,translation,l2,83.5195,149.19,0.168463,0.114478,0.255892,0.271044,0.703704,594
0.01,1e-05,ranking,diagonal,dot,104.844,301.691,0.0204237,0.0117845,0.020202,0.0867003,0.428451,594
0.01,1e-05,ranking,diagonal,l2,105.886,323.691,0.015414,0.00589226,0.0227273,0.0673401,0.367003,594
0.01,1e-05,softmax,translation,dot,12.4134,159.574,0.166318,0.106902,0.255892,0.28367,0.714646,594
0.01,1e-05,softmax,translation,l2,12.5382,386.836,0.0137375,0.00841751,0.013468,0.0294613,0.274411,594
0.01,1e-05,softmax,diagonal,dot,125.579,343.174,0.026643,0.0117845,0.0462963,0.103535,0.348485,594
0.01,1e-05,softmax,diagonal,l2,12.5016,238.609,0.0165639,0.00841751,0.0159933,0.0395623,0.510943,594
0.001,0.1,ranking,translation,dot,12.528,373.87,0.0148165,0.00841751,0.0176768,0.0412458,0.294613,594
0.001,0.1,ranking,translation,l2,83.1206,151.855,0.162949,0.102694,0.254209,0.277778,0.723906,594
0.001,0.1,ranking,diagonal,dot,104.719,298.603,0.01999,0.00841751,0.0277778,0.100168,0.441077,594
0.001,0.1,ranking,diagonal,l2,102.857,245.689,0.0168285,0.00925926,0.016835,0.037037,0.496633,594
0.001,0.1,softmax,translation,dot,105.65,319.854,0.0159236,0.00757576,0.020202,0.0740741,0.400673,594
0.001,0.1,softmax,translation,l2,12.4141,160.821,0.170038,0.112795,0.252525,0.287037,0.689394,594
0.001,0.1,softmax,diagonal,dot,12.5365,384.653,0.0135243,0.00925926,0.0117845,0.023569,0.260101,594
