lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.001,None,ranking,affine,dot,12.4248,178.823,0.0902532,0.0513866,0.169657,0.199021,0.66721,613
0.001,None,ranking,affine,l2,12.534,372.157,0.0101677,0.00570962,0.00815661,0.0244698,0.313214,613
0.001,None,softmax,affine,dot,87.1057,206.802,0.0971014,0.0668842,0.162316,0.177814,0.612561,613
0.001,None,softmax,affine,l2,103.367,224.235,0.0924901,0.0579119,0.163132,0.211256,0.593801,613
0.0001,None,ranking,affine,dot,105.523,375.047,0.0153938,0.00734095,0.0106036,0.133768,0.322186,613
0.0001,None,ranking,affine,l2,12.5043,223.927,0.0899947,0.0587276,0.161501,0.199021,0.584013,613
0.0001,None,softmax,affine,dot,12.5083,374.759,0.0151955,0.00652529,0.0122349,0.126427,0.354812,613
0.0001,None,softmax,affine,l2,93.7,222.894,0.0800512,0.0424144,0.158238,0.28385,0.550571,613
0.01,0.1,ranking,translation,dot,86.0424,203.06,0.0976835,0.0634648,0.166381,0.181818,0.598628,583
0.01,0.1,ranking,translation,l2,97.9859,240.919,0.076381,0.0385935,0.164666,0.269297,0.564322,583
0.01,0.1,ranking,diagonal,dot,103.853,260.832,0.0192678,0.00943396,0.0325901,0.0471698,0.488851,583
0.01,0.1,ranking,diagonal,l2,126.241,355.466,0.0172531,0.00343053,0.0343053,0.0960549,0.36964,583
0.01,0.1,softmax,translation,dot,13.3195,178.686,0.101124,0.0626072,0.179245,0.181818,0.666381,583
0.01,0.1,softmax,translation,l2,12.8092,339.594,0.020169,0.00943396,0.035163,0.0909091,0.345626,583
0.01,0.1,softmax,diagonal,dot,13.0458,244.333,0.0181097,0.00686106,0.0265866,0.0557461,0.540309,583
0.01,0.1,softmax,diagonal,l2,12.8076,383.411,0.0146903,0.0077187,0.0205832,0.0394511,0.30789,583
0.01,0.001,ranking,translation,dot,86.6997,203.842,0.101186,0.0668954,0.164666,0.181818,0.617496,583
0.01,0.001,ranking,translation,l2,97.4057,235.891,0.0800293,0.0454545,0.143225,0.263293,0.554031,583
0.01,0.001,ranking,diagonal,dot,103.681,255.923,0.016595,0.00600343,0.0214408,0.0411664,0.505146,583
0.01,0.001,ranking,diagonal,l2,122.838,344.364,0.0213949,0.0051458,0.0428816,0.103774,0.374786,583
0.01,0.001,softmax,translation,dot,103.79,258.497,0.0179224,0.0077187,0.0231561,0.0428816,0.500858,583
0.01,0.001,softmax,translation,l2,13.4094,184.06,0.102993,0.0634648,0.179245,0.181818,0.661235,583
0.01,0.001,softmax,diagonal,dot,12.784,333.342,0.0255904,0.00857633,0.0506003,0.116638,0.392796,583
0.01,0.001,softmax,diagonal,l2,13.0102,219.057,0.0353115,0.0197256,0.0608919,0.0737564,0.593482,583
0.01,1e-05,ranking,translation,dot,12.7391,351.887,0.0113673,0.00343053,0.0137221,0.0394511,0.35163,583
0.01,1e-05,ranking,translation,l2,90.7872,183.51,0.0967825,0.0574614,0.178388,0.189537,0.625214,583
0.01,1e-05,ranking,diagonal,dot,105.244,306.845,0.0145914,0.0051458,0.0137221,0.077187,0.403087,583
0.01,1e-05,ranking,diagonal,l2,106.323,321.997,0.0139249,0.00600343,0.0180103,0.0626072,0.396226,583
0.01,1e-05,softmax,translation,dot,12.4437,198.111,0.0976914,0.058319,0.176672,0.186106,0.628645,583
0.01,1e-05,softmax,translation,l2,12.5376,394.893,0.0102312,0.00600343,0.00857633,0.0214408,0.265009,583
0.01,1e-05,softmax,diagonal,dot,122.978,340.975,0.0328273,0.0145798,0.067753,0.123499,0.379074,583
0.01,1e-05,softmax,diagonal,l2,12.5019,220.467,0.0124672,0.00343053,0.00943396,0.042024,0.555746,583
0.001,0.1,ranking,translation,dot,12.5341,398.789,0.00813551,0.00171527,0.0102916,0.0265866,0.277873,583
0.001,0.1,ranking,translation,l2,90.7582,196.491,0.101365,0.0608919,0.180961,0.189537,0.644082,583
0.001,0.1,ranking,diagonal,dot,104.849,301.532,0.0148151,0.00600343,0.0154374,0.0780446,0.421955,583
0.001,0.1,ranking,diagonal,l2,103.369,251.296,0.0113627,0.00428816,0.00943396,0.0188679,0.506861,583
0.001,0.1,softmax,translation,dot,106.751,337.105,0.011686,0.00428816,0.0137221,0.0411664,0.374786,583
0.001,0.1,softmax,translation,l2,12.4448,201.585,0.0994393,0.0617496,0.17753,0.190395,0.634648,583
0.001,0.1,softmax,diagonal,dot,12.536,389.276,0.00991452,0.0051458,0.00857633,0.0154374,0.284734,583
0.001,0.1,softmax,diagonal,l2,12.5015,234.513,0.0142664,0.00600343,0.0145798,0.0317324,0.513722,583
0.001,0.001,ranking,translation,dot,12.5315,385.921,0.00752958,0.000857633,0.00943396,0.0180103,0.280446,583
0.001,0.001,ranking,translation,l2,12.1618,145.316,0.0965203,0.058319,0.173242,0.184391,0.752144,583
0.001,0.001,ranking,diagonal,dot,90.6986,173.136,0.109215,0.0711835,0.180103,0.189537,0.661235,583
0.001,0.001,ranking,diagonal,l2,105.188,305.063,0.0165605,0.00686106,0.0205832,0.0857633,0.441681,583
0.001,0.001,softmax,translation,dot,103.138,234.053,0.0153994,0.00686106,0.016295,0.0325901,0.5506,583
0.001,0.001,softmax,translation,l2,103.418,243.325,0.0134765,0.00686106,0.0120069,0.0265866,0.512007,583
0.001,0.001,softmax,diagonal,dot,106.302,327.248,0.0111474,0.00343053,0.0120069,0.0523156,0.383362,583
0.001,0.001,softmax,diagonal,l2,12.5018,243.136,0.0997694,0.0651801,0.16295,0.188679,0.572041,583
0.001,1e-05,ranking,translation,dot,12.4444,208.163,0.101539,0.0617496,0.17753,0.196398,0.602916,583
0.001,1e-05,ranking,translation,l2,12.5376,394.774,0.0103007,0.00600343,0.00857633,0.0145798,0.259005,583
